2012.08.06,00:00,1.56110,1.56642,1.55454,1.56005,55287
2012.08.07,00:00,1.56011,1.56828,1.55633,1.56205,54108
2012.08.08,00:00,1.56184,1.56759,1.55717,1.56566,55571
2012.08.09,00:00,1.56557,1.56842,1.56046,1.56348,56517
2012.08.10,00:00,1.56352,1.56999,1.55762,1.56852,51799
2012.08.13,00:00,1.56704,1.57160,1.56557,1.56796,47280
2012.08.14,00:00,1.56810,1.57278,1.56699,1.56743,47783
2012.08.15,00:00,1.56751,1.57005,1.56592,1.56809,45963
2012.08.16,00:00,1.56835,1.57435,1.56354,1.57305,49319
2012.08.17,00:00,1.57296,1.57381,1.56733,1.56925,47149
2012.08.20,00:00,1.57051,1.57162,1.56770,1.57086,42754
2012.08.21,00:00,1.57063,1.58035,1.57015,1.57820,50338
2012.08.22,00:00,1.57827,1.58808,1.57667,1.58769,53146
2012.08.23,00:00,1.58776,1.59116,1.58557,1.58574,57577
2012.08.24,00:00,1.58570,1.58683,1.58011,1.58090,49844
2012.08.27,00:00,1.58180,1.58271,1.57901,1.57917,34950
2012.08.28,00:00,1.57901,1.58353,1.57532,1.58164,49578
2012.08.29,00:00,1.58161,1.58541,1.58018,1.58313,43248
2012.08.30,00:00,1.58290,1.58738,1.57699,1.57827,45723
2012.08.31,00:00,1.57826,1.58950,1.57770,1.58642,56893
2012.09.03,00:00,1.58780,1.58974,1.58488,1.58844,36078
2012.09.04,00:00,1.58810,1.59083,1.58576,1.58682,46003
2012.09.05,00:00,1.58720,1.59331,1.58248,1.59011,54533
2012.09.06,00:00,1.58999,1.59406,1.58807,1.59368,53197
2012.09.07,00:00,1.59308,1.60333,1.59214,1.60049,57300
2012.09.10,00:00,1.60147,1.60177,1.59584,1.59875,42573
2012.09.11,00:00,1.59880,1.60825,1.59828,1.60663,52352
2012.09.12,00:00,1.60685,1.61294,1.60627,1.61048,61082
2012.09.13,00:00,1.61045,1.61731,1.60727,1.61537,57231
2012.09.14,00:00,1.61537,1.62548,1.61424,1.62152,64334
2012.09.17,00:00,1.62195,1.62723,1.62097,1.62480,47566
2012.09.18,00:00,1.62479,1.62660,1.62196,1.62446,54537
2012.09.19,00:00,1.62446,1.62699,1.61839,1.62201,56512
2012.09.20,00:00,1.62201,1.62352,1.61624,1.62133,63998
2012.09.21,00:00,1.62136,1.63084,1.62110,1.62286,62545
2012.09.24,00:00,1.62347,1.62490,1.61809,1.62181,66284
2012.09.25,00:00,1.62156,1.62668,1.61814,1.61856,76323
2012.09.26,00:00,1.61859,1.62080,1.61362,1.61637,82682
2012.09.27,00:00,1.61627,1.62428,1.61593,1.62342,89623
2012.09.28,00:00,1.62309,1.62713,1.61116,1.61641,97560
2012.10.01,00:00,1.61446,1.61742,1.61077,1.61290,81624
2012.10.02,00:00,1.61291,1.61861,1.61237,1.61312,76379
2012.10.03,00:00,1.61316,1.61413,1.60659,1.60747,76111
2012.10.04,00:00,1.60722,1.62011,1.60712,1.61899,85882
2012.10.05,00:00,1.61903,1.62161,1.61217,1.61322,77155
2012.10.08,00:00,1.61319,1.61415,1.60203,1.60253,74946
2012.10.09,00:00,1.60216,1.60451,1.59755,1.60017,85356
2012.10.10,00:00,1.60016,1.60334,1.59755,1.60048,77600
2012.10.11,00:00,1.60065,1.60531,1.59830,1.60429,68404
2012.10.12,00:00,1.60435,1.60962,1.60176,1.60711,64988
2012.10.15,00:00,1.60681,1.60805,1.60200,1.60687,67433
2012.10.16,00:00,1.60693,1.61312,1.60627,1.61105,87007
2012.10.17,00:00,1.61095,1.61775,1.61071,1.61462,67742
2012.10.18,00:00,1.61454,1.61700,1.60411,1.60425,65642
2012.10.19,00:00,1.60410,1.60657,1.59960,1.59994,62143
2012.10.22,00:00,1.60124,1.60514,1.59896,1.60121,56846
2012.10.23,00:00,1.60100,1.60232,1.59125,1.59513,63928
2012.10.24,00:00,1.59473,1.60472,1.59350,1.60360,72083
2012.10.25,00:00,1.60356,1.61427,1.60255,1.61179,71429
2012.10.26,00:00,1.61164,1.61401,1.60798,1.61025,68297
